incident_num,category,longitude,latitude
160107378.0,LARCENY/THEFT,-122.4076335,37.78418935
170262564.0,DRIVING UNDER THE INFLUENCE,-122.4234131,37.79573711
160807885.0,LARCENY/THEFT,-122.41187350000001,37.79671089
160128067.0,PROSTITUTION,-122.44293619999999,37.78769516
160501128.0,FRAUD,-122.4125153,37.78047775
170276850.0,RECOVERED VEHICLE,-122.41299380000001,37.78556297
160895294.0,DRUNKENNESS,-122.4101352,37.78418891
170196731.0,OTHER OFFENSES,-122.41519440000002,37.72922337
160368887.0,OTHER OFFENSES,-122.41967179999999,37.76505012
161053706.0,VEHICLE THEFT,-122.44945359999998,37.76872842
160220265.0,WARRANTS,-122.4165835,37.77865915
170164647.0,NON-CRIMINAL,-122.4304365,37.77210697
170103178.0,LARCENY/THEFT,-122.4053614,37.80569474
160912042.0,ROBBERY,-122.4647007,37.78581297
170104819.0,NON-CRIMINAL,-122.43088259999999,37.76437256
160196484.0,DRUG/NARCOTIC,-122.423478,37.78345321
170199882.0,VANDALISM,-122.411426,37.75260197
170251294.0,LARCENY/THEFT,-122.4300273,37.72239688
160921689.0,NON-CRIMINAL,-122.4322332,37.77670712
161022438.0,OTHER OFFENSES,-122.4040716,37.77727419
160332434.0,NON-CRIMINAL,-122.41985849999999,37.7627429
160309881.0,NON-CRIMINAL,-122.3919855,37.78802038
170026542.0,VANDALISM,-122.4025028,37.74078228
160448075.0,WARRANTS,-122.5096622,37.76303555
170085758.0,OTHER OFFENSES,-122.4036781,37.7972972
170025817.0,LARCENY/THEFT,-122.40340479999999,37.77542071
160294602.0,MISSING PERSON,-122.4219975,37.7292303
160032628.0,VEHICLE THEFT,-122.4633544,37.775447799999995
170017171.0,NON-CRIMINAL,-122.4282749,37.79050697
160596953.0,DRIVING UNDER THE INFLUENCE,-122.4625011,37.72677755
176105637.0,LARCENY/THEFT,-122.40539550000001,37.78351007
170007508.0,ASSAULT,-122.5070932,37.77808648
170104085.0,BURGLARY,-122.40633229999999,37.79404541
170062778.0,NON-CRIMINAL,-122.443597,37.78264353
160399014.0,OTHER OFFENSES,-122.408231,37.78735949
160611686.0,OTHER OFFENSES,-122.4698775,37.72164385
160052905.0,NON-CRIMINAL,-122.44660719999999,37.72072313
160142045.0,OTHER OFFENSES,-122.3926438,37.73678488
160780219.0,OTHER OFFENSES,-122.40207020000001,37.78871987
160110707.0,BURGLARY,-122.46165409999999,37.74828067
176008348.0,LARCENY/THEFT,-122.4560856,37.71662972
160079410.0,DRUG/NARCOTIC,-122.4077348,37.75282474
166167017.0,LARCENY/THEFT,-122.40340479999999,37.77542071
160796896.0,TRESPASS,-122.40900740000001,37.79158371
160841350.0,LARCENY/THEFT,-122.41501000000001,37.80836982
160637529.0,ASSAULT,-122.4041244,37.72755393
160947146.0,ROBBERY,-122.4125153,37.78047775
160909657.0,ROBBERY,-122.40784540000001,37.78509432
160431490.0,LARCENY/THEFT,-122.46089930000001,37.73551197
161062989.0,BURGLARY,-122.4155918,37.71067452
160513418.0,OTHER OFFENSES,-122.40939159999999,37.7779765
160488219.0,OTHER OFFENSES,-122.3969544,37.71947846
160778286.0,LARCENY/THEFT,-122.41797009999999,37.80220232
160061279.0,ASSAULT,-122.41965829999998,37.76422056
160346491.0,NON-CRIMINAL,-122.4501824,37.79129258
160091505.0,WARRANTS,-122.40737649999998,37.77998926
160904914.0,VANDALISM,-122.432395,37.79843705
170217456.0,LARCENY/THEFT,-122.4144607,37.72745803
170105027.0,OTHER OFFENSES,-122.41967179999999,37.76505012
160642603.0,LARCENY/THEFT,-122.42285770000001,37.80544404
160576002.0,OTHER OFFENSES,-122.4191044,37.78687648
160630454.0,ASSAULT,-122.40634640000002,37.77916742
160079799.0,BURGLARY,-122.406448,37.74832518
160641213.0,SUSPICIOUS OCC,-122.41838200000001,37.78325838
160230593.0,VANDALISM,-122.4073545,37.79179264
176005548.0,LARCENY/THEFT,-122.3953064,37.76071335
170228970.0,LARCENY/THEFT,-122.40642959999998,37.80656886
160469617.0,OTHER OFFENSES,-122.4149199,37.7482311
160207279.0,SUSPICIOUS OCC,-122.43869509999999,37.71969203
176015860.0,LARCENY/THEFT,-122.43117520000001,37.77536887
160666299.0,TRESPASS,-122.41161509999998,37.78316141
160620035.0,OTHER OFFENSES,-122.4467835,37.7617816
176089796.0,LARCENY/THEFT,-122.4051988,37.805246999999994
160661829.0,ASSAULT,-122.41006850000001,37.73682085
160039527.0,OTHER OFFENSES,-122.42611869999999,37.76351584
176015365.0,LARCENY/THEFT,-122.40340479999999,37.77542071
160263497.0,ASSAULT,-122.3876087,37.73296587
166087788.0,NON-CRIMINAL,-122.48971399999999,37.73394977
170287318.0,LARCENY/THEFT,-122.4168252,37.78727715
166006120.0,VANDALISM,-122.4013379,37.7937569
160642017.0,ASSAULT,-122.42637930000001,37.80207075
166073549.0,LARCENY/THEFT,-122.4312069,37.78456812
160857040.0,LARCENY/THEFT,-122.40669059999999,37.78520719
160564596.0,LARCENY/THEFT,-122.41925790000002,37.77514629
170060039.0,NON-CRIMINAL,-122.40784540000001,37.78509432
160834703.0,MISSING PERSON,-122.44932859999999,37.76777389
160941251.0,SECONDARY CODES,-122.43884009999998,37.74445916
166070921.0,NON-CRIMINAL,-122.419021,37.78265298
170298412.0,LARCENY/THEFT,-122.41726509999998,37.80707305
176001819.0,LARCENY/THEFT,-122.4435395,37.76823839
166200037.0,LARCENY/THEFT,-122.3873163,37.75800217
161038582.0,LARCENY/THEFT,-122.4857562,37.74078877
160697288.0,VEHICLE THEFT,-122.4240644,37.73811375
170249255.0,ASSAULT,-122.41829609999999,37.75142849
160153014.0,LARCENY/THEFT,-122.40722240000002,37.78645626
160138157.0,OTHER OFFENSES,-122.408231,37.78735949
166210161.0,LARCENY/THEFT,-122.4141827,37.7459191
170151644.0,LARCENY/THEFT,-122.51364209999998,37.77846922
160601740.0,NON-CRIMINAL,-122.4011616,37.78202385
160565356.0,MISSING PERSON,-122.4528398,37.77451454
160625734.0,BURGLARY,-122.39720190000001,37.75353512
176035636.0,LARCENY/THEFT,-122.41133629999999,37.7635957
166035191.0,LARCENY/THEFT,-122.4723633,37.72420096
160918642.0,NON-CRIMINAL,-122.41137859999998,37.80112543
170132484.0,LARCENY/THEFT,-122.40952990000001,37.76571844
166227780.0,NON-CRIMINAL,-122.3953297,37.7966653
176108590.0,LARCENY/THEFT,-122.40871059999999,37.78097067
160190248.0,NON-CRIMINAL,-122.41317450000001,37.78671902
170076309.0,VANDALISM,-122.4154355,37.80634189
160469037.0,NON-CRIMINAL,-122.41294029999999,37.76254751
160599628.0,BURGLARY,-122.46683770000001,37.75095932
160560704.0,NON-CRIMINAL,-122.3987586,37.77656877
170012820.0,OTHER OFFENSES,-122.4224044,37.78987648
160426231.0,NON-CRIMINAL,-122.4744446,37.718302200000004
166243491.0,LARCENY/THEFT,-122.4105247,37.80744512
160752387.0,OTHER OFFENSES,-122.43157859999998,37.77770022
160088336.0,VANDALISM,-122.36556540000001,37.809670700000005
176082596.0,LARCENY/THEFT,-122.40080470000001,37.77732079
166232814.0,VANDALISM,-122.4111419,37.78507362
160829340.0,OTHER OFFENSES,-122.4270196,37.78019212
160661766.0,OTHER OFFENSES,-122.43047800000001,37.74834937
160767637.0,BURGLARY,-122.40642959999998,37.80656886
170182978.0,BURGLARY,-122.43557320000001,37.76091062
160591947.0,ROBBERY,-122.3947887,37.711030799999996
166166536.0,VANDALISM,-122.47023090000002,37.74708862
170045699.0,SUSPICIOUS OCC,-122.43518770000001,37.76267028
160966469.0,ROBBERY,-122.4324837,37.75781961
160264768.0,WARRANTS,-122.39940279999999,37.79116076
166141168.0,LARCENY/THEFT,-122.4003875,37.8025736
160493729.0,LARCENY/THEFT,-122.47564750000001,37.72852806
170020265.0,ASSAULT,-122.38910690000002,37.75710952
166268972.0,LARCENY/THEFT,-122.4157858,37.80860234
160054456.0,WEAPON LAWS,-122.43746329999999,37.7323781
160157884.0,SECONDARY CODES,-122.40724409999999,37.78656476
170098767.0,SUSPICIOUS OCC,-122.40340479999999,37.77542071
170122833.0,NON-CRIMINAL,-122.4094562,37.79572778
170258240.0,VANDALISM,-122.406521,37.78506294
160737759.0,NON-CRIMINAL,-122.43604920000001,37.79984122
160346275.0,MISSING PERSON,-122.38966070000001,37.73617861
160415284.0,VEHICLE THEFT,-122.40926840000002,37.78379987
160773844.0,LARCENY/THEFT,-122.41926880000001,37.74803222
170264388.0,NON-CRIMINAL,-122.49223329999998,37.78069651
170169976.0,LARCENY/THEFT,-122.42485990000002,37.78619645
160447895.0,ASSAULT,-122.38905630000001,37.71882203
161025410.0,LARCENY/THEFT,-122.4108828,37.78792094
160804922.0,LARCENY/THEFT,-122.40340479999999,37.77542071
160496789.0,VANDALISM,-122.4133983,37.76867093
166122130.0,VANDALISM,-122.46513610000001,37.74015388
160620461.0,LARCENY/THEFT,-122.40998119999999,37.79740041
166209603.0,LARCENY/THEFT,-122.40974820000001,37.77516285
160950854.0,LARCENY/THEFT,-122.43129499999999,37.72872979
166117692.0,LARCENY/THEFT,-122.42109679999999,37.78429378
160605247.0,DRUG/NARCOTIC,-122.41405630000001,37.78279311
160078070.0,SUSPICIOUS OCC,-122.49643449999999,37.75517136
170242102.0,LARCENY/THEFT,-122.47890249999999,37.74290798
170139048.0,ASSAULT,-122.4359594,37.75922119
160881077.0,DRUG/NARCOTIC,-122.4256656,37.76910199
160179985.0,NON-CRIMINAL,-122.41076880000001,37.78321452
160906750.0,OTHER OFFENSES,-122.4643361,37.70916075
160380790.0,LARCENY/THEFT,-122.4045165,37.76331707
160324362.0,NON-CRIMINAL,-122.3970892,37.75359879
160834167.0,ASSAULT,-122.40490439999999,37.79464788
160654868.0,BURGLARY,-122.4748173,37.71740611
160767922.0,LARCENY/THEFT,-122.4178416,37.78895369
161036699.0,MISSING PERSON,-122.41524540000002,37.80541652
170039783.0,EMBEZZLEMENT,-122.47564750000001,37.72852806
160743740.0,OTHER OFFENSES,-122.39470990000001,37.76396519
160645384.0,VEHICLE THEFT,-122.41925790000002,37.77514629
160295127.0,BURGLARY,-122.41467079999998,37.77420722
166104508.0,LARCENY/THEFT,-122.40871059999999,37.78097067
160077793.0,SUSPICIOUS OCC,-122.4663134,37.76308512
170236371.0,WARRANTS,-122.4616832,37.72518972
166146168.0,LARCENY/THEFT,-122.41317450000001,37.78671902
179000652.0,LARCENY/THEFT,-122.4837996,37.78298908
160938060.0,ASSAULT,-122.41827420000001,37.7870372
161025294.0,VEHICLE THEFT,-122.41379840000002,37.78562979
160785140.0,ROBBERY,-122.4035111,37.73366496
160849990.0,NON-CRIMINAL,-122.41174709999999,37.75103503
170174793.0,VEHICLE THEFT,-122.43591699999999,37.72983713
160061564.0,MISSING PERSON,-122.42645,37.78403486
170241314.0,NON-CRIMINAL,-122.4139713,37.711400299999994
160201077.0,OTHER OFFENSES,-122.40340479999999,37.77542071
166179551.0,LARCENY/THEFT,-122.4278156,37.78444809
166020487.0,LARCENY/THEFT,-122.41269840000001,37.80531094
